topic_no,1979_prop,2019_prop,abs_change,abs_change_percent,overall_change,max_ascent_percent,max_descent_percent
24,0.00931266482860203,0.010552931164071178,0.0012402663354691475,13.318060493919118,0.007043327491139275,0.24464551495676723,0.08904380508672975
25,0.008437468985644979,0.0094881824112544,0.001050713425609421,12.452945633305958,0.005048261230361974,0.15424840500551132,0.045629672968338086
26,0.009206741538319557,0.01093644293545604,0.0017297013971364836,18.787335236220763,0.003805700214663865,0.222901999778984,0.05778682891473945
27,0.00989847044697275,0.009495873044280699,-0.0004025974026920509,-4.06726882551008,0.008480417491950235,0.13695912513497782,0.19024104128726685
28,0.007633620917277615,0.013843926468917819,0.006210305551640204,81.35464963401655,0.007847887296314283,0.8415827697219826,0.050118117614644284
29,0.009096836353443884,0.00906022730603402,-3.6609047409864176e-05,-0.4024371329490247,0.004807801074133006,0.0769434676351739,0.054653228093322646
30,0.008371592898446476,0.009777980210935332,0.0014063873124888562,16.799518676425855,0.004743603880490284,0.17606074823295526,0.05367921395144461
31,0.013282440990141078,0.008870671936384033,-0.004411769053757045,-33.21504727204654,0.00895452283538009,0.06684867182532693,0.3388274321533943
32,0.010141150983186993,0.009190437355275005,-0.0009507136279119886,-9.374809915444272,0.008053418827207923,0.10905145505233063,0.14080918724598626
33,0.00985546566865766,0.008846207106400066,-0.0010092585622575936,-10.240597412532585,0.0038172043808144887,0.029279284848847332,0.12282514954123654
34,0.009120412471366876,0.008924368048917415,-0.00019604442244946022,-2.14951267900364,0.011608692653345219,0.2742301591920491,0.21196279369024743
35,0.00848468433121254,0.01181598920233037,0.003331304871117831,39.2625670098649,0.007746676926937614,0.43396107938450385,0.07475948204504726
36,0.009410233098338293,0.009004386705216595,-0.000405846393121698,-4.312819766317632,0.004158140874360677,0.04045600969067864,0.09186490988718664
37,0.012615719224873095,0.01112850920436843,-0.001487210020504665,-11.788547240116824,0.013860256210669693,0.19611879697682938,0.19029792562498757
38,0.009419114381916758,0.00982761564246983,0.0004085012605530725,4.336939164231106,0.003955057395518732,0.0728369520832793,0.06718878242528688
39,0.011430778853445,0.009711563748479453,-0.0017192151049655463,-15.040227153440297,0.011234651677289754,0.2573582845549923,0.329879845602929
40,0.009224443676154057,0.009390306096544437,0.00016586242039037975,1.798075051606068,0.004598367343029127,0.10126881270333297,0.057655525980117896
41,0.013075503778378766,0.010256461929386018,-0.002819041848992749,-21.559718820579793,0.009415131808022826,0.0922688013108308,0.24047725868211375
42,0.01256100496799231,0.008987659149116088,-0.0035733458188762224,-28.447929349456892,0.005896482230569926,0.051435218759372424,0.316342950867593
43,0.010731891191024565,0.009612710154588866,-0.0011191810364356986,-10.428553705163417,0.00977967605017499,0.16334858461375484,0.23662339338113944
44,0.01281333931601094,0.009305996426194526,-0.0035073428898164134,-27.37259041781407,0.007323574674874446,0.0368631455107647,0.2939445629366595
45,0.008464260109588737,0.011135645270775207,0.0026713851611864705,31.56076404315827,0.008062194119235885,0.4505278838767905,0.09700225532182923
46,0.009615777842816831,0.010295197496939577,0.0006794196541227461,7.065675447465599,0.004686778526540408,0.10528684505890162,0.05909645963109569
47,0.00844770962467117,0.009974212258914383,0.0015265026342432125,18.070017816250783,0.00656682308693125,0.25218830410771836,0.04481187834983162
48,0.01072042127714118,0.010635825453031447,-8.459582410973339e-05,-0.7891091396763895,0.006138349232258767,0.10607456119693516,0.11490283827980026
49,0.00950543979446433,0.00907580888186969,-0.00042963091259464077,-4.5198425521020535,0.008109071537260025,0.12732752326252,0.09877206974823904
50,0.007570638197881368,0.011289234262034802,0.0037185960641534345,49.11866036860774,0.007549095113575288,0.4979547210130832,0.04021251567237511
51,0.008548379383083731,0.010614213982751277,0.0020658345996675456,24.166388821670655,0.006465546047654569,0.2589766290229384,0.06117145545741982
52,0.013536502631623417,0.011230991260750937,-0.00230551137087248,-17.031809719346853,0.008767053900472476,0.08503285664615516,0.17597225338750877
53,0.015005710712125067,0.00989475580435019,-0.005110954907774877,-34.06006556987048,0.01871508272542878,0.17510325327851847,0.4544763286422196
54,0.00949358911374608,0.009897021629831212,0.00040343251608513167,4.249525772091699,0.005746650827832843,0.13486435131738445,0.07241712715250935
55,0.010250781817824432,0.010010476609270414,-0.0002403052085540175,-2.3442622506721005,0.007167419772979914,0.1255766160330844,0.09787220504145971
56,0.007907811708305493,0.015231796269804069,0.0073239845614985755,92.6170833557692,0.013352832265961456,1.0055412172279605,0.07062196570429032
57,0.01000574037260872,0.009664585274155498,-0.00034115509845322224,-3.4095937506748983,0.007218064435642097,0.10305262410653179,0.1203144734067735
58,0.00827696935820513,0.009852242259107918,0.0015752729009027872,19.03200111936124,0.007204635030928453,0.24924765560384554,0.04768330507579076
59,0.010095003017918823,0.009276687342908733,-0.0008183156750100895,-8.106145917515464,0.006498950415057405,0.06190205535786658,0.125009758962479
60,0.01474407321275258,0.010577835284702788,-0.004166237928049791,-28.25703499929918,0.010003152675218325,0.08969150517132178,0.3416213243818822
61,0.010129434194989987,0.008841510518909794,-0.0012879236760801934,-12.71466551129973,0.009223752058576297,0.12306651186899834,0.2119734658900429
